0	3.39427	2.14139	1.33111	0	0	0
0.033	3.1266	2.18055	1.329	-6.77928	1.34104	0.229365
0.068	2.91735	2.22974	1.34261	-6.28622	1.14702	0.260162
0.1	2.72191	2.26872	1.35144	-5.93414	0.867302	0.271081
0.135	2.51516	2.28906	1.35651	-5.66542	0.460487	0.203085
0.168	2.32375	2.29263	1.35564	-5.58554	0.0159341	0.0963898
0.201	2.13363	2.28069	1.35419	-5.42219	-0.380439	0.0661001
0.237	1.94182	2.2697	1.36053	-5.22341	-0.730854	0.10162
0.269	1.7762	2.24251	1.36873	-5.02961	-0.973255	0.163677
0.302	1.6103	2.20582	1.37679	-4.9057	-1.27955	0.18572
0.333	1.45728	2.16027	1.38394	-4.75395	-1.54542	0.192621
0.368	1.30055	2.10354	1.38961	-4.46175	-1.76004	0.174146
0.407	1.14038	2.04188	1.3976	-4.21528	-1.91334	0.204808
0.438	1.01043	1.98446	1.40994	-4.10269	-2.11923	0.269789
0.467	0.890404	1.91926	1.42356	-4.2482	-2.51702	0.486643
