L	50	-39	-160		-608	497	1147	0	43
L	50	-17	-170		-522	467	1243	0	20
L	50	-37	-160		-608	494	1153	1	41
L	50	-38	-160		-608	496	1150	1	42
L	50	-16	-170		-520	466	1244	1	19
L	50	-15	-170		-519	465	1246	1	18
L	50	-36	-160		-609	492	1156	2	40
L	50	-35	-160		-609	491	1159	2	40
L	50	-34	-160		-608	489	1162	2	39
L	50	-14	-170		-517	464	1248	2	17
L	50	-13	-170		-516	463	1249	2	16
L	50	-32	-160		-608	485	1168	3	37
L	50	-33	-160		-608	487	1165	3	38
L	50	-12	-170		-514	462	1251	3	15
L	50	-11	-170		-512	461	1253	3	14
L	50	-30	-160		-608	482	1174	4	35
L	50	-31	-160		-608	484	1171	4	36
L	50	-10	-170		-511	460	1254	4	14
L	50	-9	-170		-509	459	1256	4	13
L	50	-69	-150		-602	551	984	5	72
L	50	-29	-160		-607	480	1177	5	34
L	50	-28	-160		-607	478	1180	5	34
L	50	-70	-150		-599	553	981	5	73
L	50	-8	-170		-507	458	1257	5	12
L	50	-7	-170		-505	458	1259	5	11
L	50	-26	-160		-606	475	1186	6	32
L	50	-68	-150		-605	549	987	6	71
L	50	-67	-150		-608	548	990	6	70
L	50	-66	-150		-611	546	993	6	69
L	50	-65	-150		-614	544	996	6	68
L	50	-27	-160		-606	477	1183	6	33
L	50	-6	-170		-504	457	1260	6	10
L	50	-5	-170		-502	456	1261	6	9
L	50	-23	-160		-604	470	1194	7	29
L	50	-62	-150		-623	539	1005	7	66
L	50	-61	-150		-625	537	1009	7	65
L	50	-64	-150		-617	542	999	7	68
L	50	-63	-150		-620	540	1002	7	67
L	50	-25	-160		-605	473	1188	7	31
L	50	-24	-160		-605	472	1191	7	30
L	50	-4	-170		-500	455	1263	7	8
L	50	-3	-170		-498	454	1264	7	8
L	50	-60	-150		-628	535	1012	8	64
L	50	-22	-160		-603	468	1197	8	28
L	50	-21	-160		-602	466	1200	8	28
L	50	-59	-150		-630	533	1015	8	63
L	50	-58	-150		-633	531	1019	8	62
L	50	-57	-150		-635	529	1022	8	62
L	50	-2	-170		-496	454	1265	8	7
L	50	-1	-170		-494	453	1267	8	6
L	50	-19	-160		-601	463	1206	9	26
L	50	-53	-150		-644	521	1036	9	58
L	50	-56	-150		-638	527	1025	9	61
L	50	-55	-150		-640	525	1029	9	60
L	50	-54	-150		-642	523	1032	9	59
L	50	-20	-160		-601	465	1203	9	27
L	50	0	-170		-492	452	1268	9	5
L	50	1	-170		-490	451	1269	9	4
L	50	-51	-150		-648	517	1043	10	56
L	50	-50	-150		-650	515	1047	10	56
L	50	-18	-160		-600	461	1209	10	25
L	50	-17	-160		-598	460	1212	10	24
L	50	-52	-150		-646	519	1039	10	57
L	50	-16	-160		-597	458	1215	10	23
L	50	2	-170		-488	451	1270	10	3
L	50	3	-170		-486	450	1272	10	2
L	50	-46	-150		-657	506	1061	11	52
L	50	-49	-150		-652	513	1050	11	55
L	50	-48	-150		-654	511	1054	11	54
L	50	-15	-160		-596	457	1217	11	22
L	50	-47	-150		-656	508	1058	11	53
L	50	-14	-160		-595	455	1220	11	22
L	50	4	-170		-484	449	1273	11	2
L	50	5	-170		-482	449	1274	11	1
L	50	-45	-150		-659	504	1065	12	51
L	50	-12	-160		-592	452	1226	12	20
L	50	-44	-150		-660	502	1069	12	50
L	50	-43	-150		-662	500	1073	12	50
L	50	-13	-160		-594	453	1223	12	21
L	50	6	-170		-480	448	1275	12	0
L	50	7	-170		-477	448	1276	12	-1
L	50	-40	-150		-665	493	1084	13	47
L	50	-10	-160		-589	449	1231	13	18
L	50	-39	-150		-666	491	1088	13	46
L	50	-9	-160		-588	447	1234	13	17
L	50	-42	-150		-663	497	1077	13	49
L	50	-41	-150		-664	495	1080	13	48
L	50	-11	-160		-591	450	1229	13	19
L	50	8	-170		-475	447	1277	13	-2
L	50	9	-170		-473	446	1278	13	-3
L	50	-8	-160		-586	445	1237	14	17
L	50	-38	-150		-667	489	1092	14	45
L	50	-7	-160		-585	444	1239	14	16
L	50	-36	-150		-669	484	1100	14	44
L	50	-37	-150		-668	486	1096	14	45
L	50	10	-170		-471	446	1279	14	-4
L	50	11	-170		-469	445	1280	14	-4
L	50	-5	-160		-581	441	1245	15	14
L	50	-34	-150		-671	479	1108	15	42
L	50	-32	-150		-672	475	1116	15	40
L	50	-35	-150		-670	482	1104	15	43
L	50	-6	-160		-583	442	1242	15	15
L	50	-33	-150		-671	477	1112	15	41
L	50	12	-170		-466	445	1281	15	-5
L	50	13	-170		-464	444	1282	15	-6
L	50	-4	-160		-580	439	1247	16	13
L	50	-29	-150		-673	468	1128	16	38
L	50	-3	-160		-578	438	1250	16	12
L	50	-30	-150		-673	470	1124	16	39
L	50	-31	-150		-672	473	1120	16	40
L	50	14	-170		-462	444	1282	16	-7
L	50	15	-170		-459	443	1283	16	-8
L	50	-28	-150		-673	466	1132	17	37
L	50	0	-160		-572	434	1257	17	10
L	50	-26	-150		-673	461	1140	17	35
L	50	-2	-160		-576	436	1252	17	12
L	50	-27	-150		-673	463	1136	17	36
L	50	-1	-160		-574	435	1255	17	11
L	50	16	-170		-457	443	1284	17	-9
L	50	17	-170		-455	443	1285	17	-9
L	50	-23	-150		-673	454	1151	18	33
L	50	1	-160		-570	432	1260	18	9
L	50	-24	-150		-673	457	1148	18	34
L	50	2	-160		-568	431	1262	18	8
L	50	-25	-150		-673	459	1144	18	35
L	50	18	-170		-452	442	1285	18	-10
L	50	19	-170		-450	442	1286	18	-11
L	50	-21	-150		-672	450	1159	19	31
L	50	3	-160		-566	429	1264	19	7
L	50	-22	-150		-673	452	1155	19	32
L	50	4	-160		-564	428	1267	19	7
L	50	-20	-150		-672	447	1163	19	30
L	50	20	-170		-448	441	1286	19	-12
L	50	-18	-150		-671	443	1171	20	29
L	50	-19	-150		-672	445	1167	20	30
L	50	5	-160		-561	427	1269	20	6
L	50	-17	-150		-670	440	1175	20	28
L	50	6	-160		-559	425	1271	20	5
L	50	21	-170		-445	441	1287	20	-13
L	50	22	-170		-443	441	1287	20	-13
L	50	-15	-150		-669	436	1183	21	26
L	50	-14	-150		-668	434	1187	21	26
L	50	7	-160		-557	424	1274	21	4
L	50	-16	-150		-669	438	1179	21	27
L	50	8	-160		-554	423	1276	21	3
L	50	23	-170		-440	441	1288	21	-14
L	50	24	-170		-438	440	1288	21	-15
L	50	-11	-150		-665	427	1199	22	23
L	50	-13	-150		-667	431	1191	22	25
L	50	9	-160		-552	422	1278	22	3
L	50	-12	-150		-666	429	1195	22	24
L	50	10	-160		-550	420	1280	22	2
L	50	25	-170		-436	440	1289	22	-16
L	50	26	-170		-433	440	1289	22	-17
