3.85324	4.2811	0.0256702	0.2
3.72728	4.23214	0.0199127	0.233
3.60786	4.18044	0.0214958	0.267
3.51195	4.12706	0.00995421	0.302
3.38989	4.05322	0.0153087	0.334
3.2809	3.98053	0.00603026	0.367
2.28345	2.60158	0.0502445	0.068
2.2069	2.43509	0.0542433	0.102
2.14643	2.27526	0.058466	0.133
2.08395	2.11353	0.0601756	0.168
2.01797	1.93346	0.0655913	0.201
1.97417	1.77308	0.070744	0.234
1.92928	1.60104	0.0761477	0.268
1.86699	1.41027	0.0791545	0.3
1.80117	1.21129	0.0817997	0.333
1.7464	1.0266	0.0840304	0.368
1.71704	0.845231	0.0859245	0.401
