4.58272	1.9554	-0.261893	0.1
4.36666	1.93236	-0.328227	0.135
4.16845	1.88895	-0.393835	0.166
3.986	1.8439	-0.454454	0.201
3.83372	1.80253	-0.5101	0.232
3.64483	1.73484	-0.570831	0.266
3.47567	1.66468	-0.628929	0.3
3.34306	1.59896	-0.680988	0.334
3.19704	1.50984	-0.729022	0.366
3.04726	1.41661	-0.777768	0.4
2.88861	1.30591	-0.815796	0.432
2.75687	1.21293	-0.857282	0.467
2.63649	1.09875	-0.902268	0.499
2.51527	0.980134	-0.943997	0.533
2.38436	0.849279	-0.980186	0.566
2.27834	0.718565	-1.01922	0.599
